rank,song_id,count,mean,std,url,prompt
1,ee070cac-0af1-4d86-9,6,0.6138,0.0467,,"Country pop song, being young and moving on from your past, female vocalist, diva country, motivating, includes guitar solo"
2,ec9f0bca-7956-4fa4-8,6,0.6053,0.1614,,"A bright and cheerful pop song sung by a female vocalist, in the style of a Japanese anime theme song."
3,72dda986-55c6-450e-8,6,0.6037,0.0751,,"a dark and sad country instrumental, acoustic guitar, slow, light drums, downtempo melancholic, (70 bpm), depressed,"
4,f5e3d294-de4a-4be3-9,7,0.5794,0.0613,,"epic film score by hanz zimmer, rich orchestration, hybrid electronic, dark, suspenseful"
5,b81b00c3-f3c4-4ba7-8,6,0.5538,0.0452,,"Male vocalist, Northern american music, Country, Regional music, Contemporary country, Contemporary country, Country pop, Melodic, Introspective, Love, Longing, Passionate, Bittersweet"
6,246bf3fe-a489-4545-a,7,0.5514,0.0612,,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean."
7,837f7d1b-23e2-4a0f-8,6,0.5456,0.1309,,"Song about the power of love of a couple, opera, male voice"
8,959ae3b5-07a9-464c-8,6,0.5453,0.1455,,"sad song sang by a man with a very nice voice., pop, indie,"
9,bea4ed25-c74b-4eca-b,6,0.5389,0.0511,,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean."
10,a73408ef-f0f9-4280-8,6,0.5318,0.1335,,"russian, bard song, folk song, acoustic guitar, female singer, emotional, 100 bpm"
11,5de9f530-88d9-44a5-9,6,0.5305,0.0442,,"synthwave, funk, saxophone, upbeat, 2019, serene, catchy, ambient, about a summer party, female vocalist,"
12,77c467d4-d021-4b6e-b,6,0.5224,0.1895,,country song about drinking beer and riding tractor while wearing overalls
13,754c7a3c-64af-4a19-8,6,0.5218,0.1299,,"compressor effect, electronic music, house music, technopop, chiptune, synthwave / electro, male vocalist, 1980s,"
14,4e5af4be-1277-4097-9,6,0.52,0.0471,,"Upbeat Reggaeton dance party song with a drop and variety, heavy bass, rythmic, Bad Bunny, feid, daddy yankee, 2023"
15,53d73137-83c6-4e4f-a,7,0.5185,0.0731,,"A song about humanity doomed to end, rock, classic rock, guitar solos, dark ambient, slow rock,"
16,e89bff81-fa30-4d94-8,7,0.5108,0.1022,,"tv show intro, male vocalist, big band, piano, jazz, swing, standards, up beat, fast"
17,7606dd90-1f55-4f82-8,7,0.5086,0.1677,,starts as old school hiphop but morphs into uk drill
18,a817156f-977c-4a72-8,7,0.5077,0.1315,,"Sad and slow grunge instrumental, 80bpm, 2000s production, (rick rubin), (modern sound),"
19,1eccf497-ffe0-4f0d-a,6,0.5046,0.1356,,"Progressive rock, dark vibe, heavy guitar, loud drums, male vocalist"
20,d2a0689f-4bd9-496a-b,6,0.5004,0.0746,,300hz vibe Big Rave HOUSE -meditation Festival House Music with Choir Vocals
21,6eec1cc9-81f9-40d3-9,6,0.4971,0.0425,,"AlienAPI whispering messages into the Human Hosts Brain., hard rock, guitar, male vocalist, heavy metal, electric guitar, album rock,"
22,583280dc-ce99-4a35-a,6,0.495,0.0914,,"synthwave, funk, upbeat, ambient, serene, 2019, saxaphone, synth,song about the beautiful wonders of life, female vocalist,"
23,db477bec-7b99-4ca2-8,6,0.4912,0.0711,,"A song about a man named Dude working for the county for feline emotional well being., blues, delta blues,"
24,325c3403-d7f7-4fa0-8,6,0.491,0.0907,,"melancholic, duet female, rock, heavy metal rock, heavy style, guitar, male, girl, children"
25,33858c28-6c40-43d6-9,6,0.4897,0.0515,,"a progressive rock ballad, like we are in the 70s"
26,479be710-4ceb-4509-8,6,0.4856,0.1344,,"a song about my dog, jazz, swing, vocal jazz, easy listening,"
27,96382602-5e97-430f-9,6,0.4838,0.0575,,"Progressive House inspired by Sasha from the 1990s, deep dark melodic ethereal space trance with a heavy driving baseline"
28,b63b2d28-ca13-4ae8-b,6,0.4831,0.0684,,"A song about the foggy autumn morning in the forest with the smell of wet woods and soil,electronic,"
29,a6971245-b52e-472d-a,6,0.4817,0.1354,,"American gothic doom metal, type o negative, rich bass voice"
30,94894312-0261-4956-8,7,0.4803,0.0377,,"A song about the greatness of menachem begin. hip hop, 1998, east coast hip hop,"
31,517bf045-71e3-4661-b,7,0.4747,0.1091,,horrorcore rap with emo guitar and phaseshifting electronic bass. the squirrel is here for his walnuts
32,d2c86c3d-07fc-4390-8,7,0.4746,0.0763,,"A ambient trap song about chilling at the beach during a sunset, electronic, saxophone, synthesizer,"
33,c21d9593-e7e4-41fe-b,7,0.4741,0.1076,,"Technical Death Metal, Progressive Metal, complex, heavy, male vocalist, melodic, aggressive, angry, energetic, epic, uncommon time signatures, 1995"
34,1c339881-c51b-4318-a,7,0.4738,0.0989,,"female vocalist, guitar, bass guitar, drums (drum set), uptempo, uplifting, anime soundtrack, melodic, j-rock, piano rock, upbeat, catchy, piano rock,"
35,7279ca60-c53e-4913-a,7,0.4734,0.1083,,"60s baroque pop about Mister Muffin, whimsical, britpop, male vocals, backing vocals"
36,a0c69d90-4070-4bb7-b,6,0.4722,0.1339,,"electronic, club, synth-pop, house, dance, electro, female vocalist, melodic edm"
37,45aa2509-8554-4bf3-8,6,0.4648,0.0835,,"song about rubber ducks in the bath, heavy distorted guitar, deep bass, nu metal, rap rock"
38,43eef8c0-03fb-483c-8,6,0.4598,0.0479,,"A song about a smooth trombone solo, classical, orchestral, symphony, modern classical,"
39,4ce5fcbf-3111-4a0d-b,7,0.4598,0.0715,,"upbeat song for motion design portfolio, techno, instrumental no singing"
40,0c1cecb1-1601-43cc-8,6,0.4515,0.0632,,A song about board games dungeons and dragons and fantasy style music
41,4e733c89-a6a1-4094-8,6,0.4511,0.1406,,"Dream pop, ethereal atmospheric song, about lost love, shoegaze, indie pop, bittersweet,"
42,523ab434-2e54-4441-9,6,0.4498,0.1311,,"A song about daily driving exotic cars, hip hop, trap"
43,ae86cd19-fca5-4ad7-b,6,0.4497,0.098,,"punk, bouncy funk pop hit italian folk bombastic feels good"
44,4fdeb871-5590-435c-8,6,0.4487,0.0261,,Minimalist analog electronic music with odd time signatures and abstract melodies
45,cdb23f80-6a13-4777-8,6,0.4484,0.1202,,"A Song about whining , pop, r&b, vocal, hip hop,"
46,8b332c1e-f10e-4afc-a,6,0.4482,0.0666,,"synthwave, saxophone, 2024, ambient, beautiful, electronic dance music, synthesizer, melancholic, melodic, male vocalist, about summer fading away,"
47,34c793a1-0af4-469e-9,6,0.4473,0.0872,,"a melody gardot style's song, post modern jazz, female voice, double bass and piano, jazz,"
48,1fce4fac-fe02-42f3-9,7,0.447,0.0462,,"Title is something in the air, like Bonobo, electronic, club, house, dance, jazz, euro house,"
49,86bd408c-0cf2-4f86-a,5,0.4411,0.0312,,"A song about mango tango, Female vocalist, Electropop, Electronic dance music, Eclectic, Energetic, Rhythmic, Rave, Anthemic, Call and response"
50,ae81034e-2b91-4d08-8,6,0.4403,0.0468,,"screaming powerful dramatic female vocalist, Symphonic, epic, warlike and martial, rhythmic and percussive, grandiose,"
51,84deb4de-d0fb-4e1d-a,7,0.4386,0.1317,,"Cool Jazz, Hard Bop, instrumental, acoustic, improvisation, mellow, energetic, nocturnal, soothing, playful, melodic, piano blues, piano jazz, piano"
52,1e28722f-2c5c-474e-a,6,0.4384,0.1344,,"Post-Bop, Jazz Fusion, instrumental, technical, melodic, warm, passionate, energetic, playful, guitar, archtop guitar"
53,6fdab3ec-7a58-4272-8,6,0.437,0.1254,,"psychedelic indie pop, sunset chill vibes, counter culture mixed with bossa nova"
