person_id,url,original_udio_prompt,description,similarity
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/f5e3d294-de4a-4be3-9205-88b28f85047d,"epic film score by hanz zimmer, rich orchestration, hybrid electronic, dark, suspenseful","super intense, this is the ending of a video game where you just finished the final goal before you do the hardest task yet, everything is on the line and youre filled with so much adrelining, the score in the background gets more intense the more you listen",0.3858
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/ee0aa1b5-2bb6-4770-a51e-f2ea9e1c873f,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,",this is very much 30 year old dads who dont know if they want to be dads or not are like gong through a crisis and join together with all the other men who dont know what theyre doing,0.0328
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/e89bff81-fa30-4d94-83dc-79ee8714f202,"tv show intro, male vocalist, big band, piano, jazz, swing, standards, up beat, fast","very happy jazz, reminds me of the beginning of a modern christmas music where its panning to some ballroom over the main couple bantering with eachother",0.4084
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/e7de29c9-e9dd-4a06-aa8d-4389eccadaee,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,",laying down in the middle of the woods somewhere pondering what life is about through ambient music and i guess a dude talking in the back,0.2948
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/e0aea9d2-f3fe-4e97-a7eb-e4e5bdc14489,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap","convertable with the music blaring super loud, something that old school kids back in the day would listen to ",0.3003
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/d2cf4cdf-f303-4ef9-9fda-3dab509cb32f,"a song about a cat plotting to take over the world ,electronic, punk",rock/heavy metal and a lot of screaming and loud music. ,0.2367
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/d2bec18a-bac3-48cb-b0da-2589176bd895,"1985, funk, dance-pop, with male vocals in the style of Michael Jackson,","super groovey and funky, you can totally jiggy with this wearing a kind of disco suit. reminds me of rollar skates too",0.2892
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/c21d9593-e7e4-41fe-baf4-4c1cc5b6ac4c,"Technical Death Metal, Progressive Metal, complex, heavy, male vocalist, melodic, aggressive, angry, energetic, epic, uncommon time signatures, 1995","more rock, except this time is feels almost reptillion? I cant really explain it other than the fac that this feels like a lizard has taken the form of a human body and is doing this",0.3019
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/a5ac307b-e75d-47b1-90e3-89447e59a26a,"Grime, fast-paced, energetic, urban, aggressive, gritty, raw, intense, rhythmic, dynamic","this is rave music, theres such a disticint visual of someone shaking their head back and forth and sticking their tounge out in the process",0.2829
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/9a4d75e7-de00-4931-9105-4d53c84471bf,A 90s hip hop rap about how fried chicken is the best food on the planet,"walking down the street on a sunny day near the public sports facilities like basketball, children nearby are sipping lemondade and are eating popsicles",0.1773
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/91f9b933-c02b-47df-95b7-05e9b37e3fb5,"bubblegum pop about imageboard culture, deep female vocalist alternative, happy, uplifting","this has a lot of autotune in it to where it almost doesnt sound like a girl singing and more ai generated, and they eneunicate the end of their words a lot
",0.337
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/86b81fdf-9b70-4200-a102-1dbe1d4bca69,"A song about going to the bar Oskars, alternative rock/pop rock,",this is giving very much theme song to a coming of age tv show or movie where someone is trying to find their place in the world,0.3607
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/858415cc-1335-476e-ac56-9e0c6947ca9f,Compose a rhyme or song on the prevention of Ringworm,mario kart. that is all. this is a mario kart theme song,0.1287
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/7e425ed4-399b-4c72-a0ac-97caf841c3fb,"rock, a teen age love affair in the style of Jim Steinman with heavy piano chords",walking in the rain expect your head is looking kind of a bit more up than down,0.094
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/65239b62-1cec-4b3a-9f6c-583a3ca80ff5,"A song about money, women, rockstar lifestyle, in the style of Playboi Carti","soulless rap, youre not listening to it to get anything from the world but to just have a nice sound in your ear, the voice is monotone enough to where youre not paying too much attention to it so you can listen to someone elses conversation",0.2639
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/652ed6ff-5366-4dea-9870-280da8e43b39,"528hz healing frequency enlightenment awakening, sunrise, new age, meditative, house/pop,","this is specially in a river. not the forest ground or the ocean but a cold river, youre staring off into the abyss watching the water flow as youre contemplating everything. Very etheral vibe to it
",0.1883
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/0825d51f-0845-4009-ae83-5b7347403923,a sentimental song about love that's lost and hope that it can be found again,"walking down by yourself in the city of newyork in the rain, where you feel like the main character, but no one is actually paying attention to you",0.1997
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/0cd8226a-a270-4165-ace6-76a2329b4bd6,a country song sung by a man about shopping for a carpet cleaner that will remove cat fur from carpet,"country, the definition of sitting on a truck, cracking open a beer, and talking about how much you hate your wife. very distinct american accent in the song",0.3621
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/1c339881-c51b-4318-afa1-a64c22bebdad,"female vocalist, guitar, bass guitar, drums (drum set), uptempo, uplifting, anime soundtrack, melodic, j-rock, piano rock, upbeat, catchy, piano rock,",anime music that would be in the theme song thats super catchy and everyone bobs their head too,0.3288
R_7EKwJyQbiTZr3Lb,https://udio.com/songs/1fcc61c5-7033-469e-9d6a-a70822983eed,"A Melodic drill/jersey club song that samples G-Funk. (Minimoog voyager synth, analog synthesizer, Sampling, G-Funk Piano, laid-back).","walkout music, like big biker intimidating gang is just showoing on stage for the first time so you play music in the background to know that theyre legit",0.3151
R_7UcZH04sc2i30Z3,https://udio.com/songs/fb21d861-9397-4126-84df-60917fece784,"A song about the love between a human and an artificial intelligence, rock ballad",This the musical score that plays when the main character is about to run a world record time at the olympics. The guitar is meant to represent their nerves before racing,0.2247
R_7UcZH04sc2i30Z3,https://udio.com/songs/246bf3fe-a489-4545-a32b-0e150d16dee5,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean.","This is the definition of girl group k-pop. I don't listen to enough K-Pop to distinguish this from anything else, but it kind of sounds like the bridge in Touch by Katseye",0.3426
R_7UcZH04sc2i30Z3,https://udio.com/songs/84deb4de-d0fb-4e1d-a53b-c854fe3c1394,"Cool Jazz, Hard Bop, instrumental, acoustic, improvisation, mellow, energetic, nocturnal, soothing, playful, melodic, piano blues, piano jazz, piano",1920s jazz club. Slow and rhythmic. All it needs is a Louis Armstrong vocal overtop and you have a 1920s HIT,0.3902
R_7UcZH04sc2i30Z3,https://udio.com/songs/e66caf62-70ce-418a-875d-b778d6e27cc5,"hip hop, song about having to eat the wrong brand of baked beans","This is a J Cole song, and you can't convince me otherwise. ",0.3476
R_7UcZH04sc2i30Z3,https://udio.com/songs/d2c86c3d-07fc-4390-8787-58a746e56d56,"A ambient trap song about chilling at the beach during a sunset, electronic, saxophone, synthesizer,",The vibes are dreamy bedroom pop. I would listen to this while laying on grass and staring up at either a night sky or a slightly cloudy sunset,0.5204
R_7UcZH04sc2i30Z3,https://udio.com/songs/a817156f-977c-4a72-8ea5-10fbadfa7532,"Sad and slow grunge instrumental, 80bpm, 2000s production, (rick rubin), (modern sound),",Slow progressive instrumental track that you would see behind an anticipatory moment in a movie. A character has to make a serious decision then the beat drops when they get their consequences,0.5062
R_7UcZH04sc2i30Z3,https://udio.com/songs/9a496feb-6a67-4f22-abf9-a46b34ff68ba,"pop rock, electronic, rock, male rock lead, synth-pop, male vocalist, catchy chorus",Very generic grunge rock from the late 80s early 90s. This is something my mom would listen to with her windows down and banging her head,0.4497
R_7UcZH04sc2i30Z3,https://udio.com/songs/9a12553b-7ae1-4e35-9c24-de4224ba47ba,Carrie is off school sick with a bad cough but can play PlayStation,"This has the vibes of 80s pop, but this song isn't something someone would unironically write. It has the tune of something that would play in a comedic video game commercial",0.1642
R_7UcZH04sc2i30Z3,https://udio.com/songs/94894312-0261-4956-89b5-6e48d0f6b008,"A song about the greatness of menachem begin. hip hop, 1998, east coast hip hop,","Sounds like a generic JZ or Tupac song. Honestly don't know what that genre is called, but the beats match the lowkey rap.",0.4355
R_7UcZH04sc2i30Z3,https://udio.com/songs/82297794-bd7d-4718-9fcb-b3a10d824475,Please Compose a symphony-like piece in style of Anton Bruckner 8th as a Film music for a bike-chase,Scientific Instrumental. Reminds me of the movie score in Oppenheimer or literally any by Hans Zimmer. I would definitely listen to this while studying to inspire myself,0.4443
R_7UcZH04sc2i30Z3,https://udio.com/songs/7a83cea8-c6f4-4944-8823-68aef4c971c6,"pop, female vocalist, sarcastic, breakup, high school girl calls her ex-boyfriend melodramatic",Solo pop song with a female artist. Sound very AI and unoriginal. Seems along the strain of todays K-Pop except it isn't K-Pop,0.4873
R_7UcZH04sc2i30Z3,https://udio.com/songs/5583d3b7-8692-4c18-85fc-f46f0ceef5f2,A Broadway musical about a duck tolling retriever named “Stryker” and two ginger cats named Chezzy and Scholes,"This is a Disney Movie number, but it is specifically a Disney Movie number from the 90s or earlier when Disney was in its prime for music. Think Tarzan and Mulan sound tracks",0.3461
R_7UcZH04sc2i30Z3,https://udio.com/songs/566f7399-846c-4579-a499-8421a2f325e2,A song about a tech consultancy called Red Badger. In the style of T bone walker,Great older RnB song. Would listen to in a jazz club if there was more trumpet. Piano running in the background,0.2728
R_7UcZH04sc2i30Z3,https://udio.com/songs/5d465d7f-d93d-47f3-9f7c-f9a71a429568,a song about creating a computer vision algorithm in Bach and Beethoven style,"Classical ,elegant piano music. I can only imagine this is the style of music that piano composers wish to replicate",0.451
R_7UcZH04sc2i30Z3,https://udio.com/songs/754e03f6-9cc8-4deb-ba29-8e0ef46dbb40,"A song about a friend named Alf, who is in love again. Being 49 year old","Giving slow love songs like the ones by Frankie Vallie and other artists in those veins. Also giving 60s beach boy vibes, so if I had to put it anywhere in time it would be then",0.3653
R_7UcZH04sc2i30Z3,https://udio.com/songs/2c080e35-5332-4784-a590-bbf9db7e765d,Song about total eclipse of sun using music of Louis Capaldi someone you love song,Slow almost opera song. Would hear it in a very emotional music number where the main character just got her heartbroken,0.4399
R_7UcZH04sc2i30Z3,https://udio.com/songs/346756fd-269e-4421-8530-cd79b74d1a98,"a song about the beauty of a multicultural festival, techno","Alternative grunge rock? I honestly have no idea, but the vocals and the beginning give me pop vibes, but the guitar and rhythm give me rock vibes, but it isn't pop rock",0.3477
R_7UcZH04sc2i30Z3,https://udio.com/songs/3c41851f-03a5-464c-9840-4646904010d0,"A song about the benefits of Technology in Africa. , pop, traditional pop, electropop, euro house, dance-pop,",80s pop song. You would definitely hear this in a mall or at like a Zoomba class. Would definitely get me into the mood to exercise.,0.3728
R_7UcZH04sc2i30Z3,https://udio.com/songs/4ce5fcbf-3111-4a0d-bb7d-1d16cf9e232a,"upbeat song for motion design portfolio, techno, instrumental no singing",Digital and Techno. This would be playing at any number of clubs in Europe,0.342
R_7UcZH04sc2i30Z3,https://udio.com/songs/12c3b33c-37c3-42e9-b1f1-70081ddf7bd3,"A song about April eight 2024 total solar eclipse and biblical conspiracy , hip hop,","Don't know the name of this genre. Other people it reminds me of would be like MF Doom but more inspirational and a little slower. Although, the autotune really takes away on this one",0.2937
R_3hzlgRTW9l5Bkim,https://udio.com/songs/d2a0689f-4bd9-496a-b30e-12657192c534,300hz vibe Big Rave HOUSE -meditation Festival House Music with Choir Vocals,I don't know what that noise is called but its very upbeat and electric. There is a few woman saying words that are added to the soundtrack.,0.4496
R_3hzlgRTW9l5Bkim,https://udio.com/songs/c7af0ea9-f546-4f26-bef4-8901953bb851,"Anthem in Finnish for the Nomadic Academy of Experimental Arts based in Harakka island, Helsinki Finland.",I hear electric guitar and drum and maybe like one of those triangle things. Then there is multiple males singing in another language together.,0.3764
R_3hzlgRTW9l5Bkim,https://udio.com/songs/ae81034e-2b91-4d08-8e03-efe033872f33,"screaming powerful dramatic female vocalist, Symphonic, epic, warlike and martial, rhythmic and percussive, grandiose,",It sounds like music produced by an orchestra and is very dramatic. It's sung like opera I think?,0.4857
R_3hzlgRTW9l5Bkim,https://udio.com/songs/97e26fe2-d45a-46b2-885e-35c18551c6d6,"an electronic rock, downtempo, art rock dark song about ending of humanity",There is a woman singing in a whisper like voice and there is background beats and some added sound effects.,0.2396
R_3hzlgRTW9l5Bkim,https://udio.com/songs/8760d63e-0eab-4d6e-9c6c-19d14c0310ea,jingle about a story writing service in style of Elvis preslley,I hear acoustic guitar and drums. Maybe a tambourine or something? There is a main male singer and backup vocals and it sounds like a country song.,0.2534
R_3hzlgRTW9l5Bkim,https://udio.com/songs/7e425ed4-399b-4c72-a0ac-97caf841c3fb,"rock, a teen age love affair in the style of Jim Steinman with heavy piano chords","I hear electric guitar, drums, bass, and some piano. There is a woman singing in a lower voice at the end but there is an instrumental build-up first.",0.3665
R_3hzlgRTW9l5Bkim,https://udio.com/songs/55300023-5c40-490e-90ff-71c29e0e0904,A big band song about how Eric Clancy is always right about AI,I hear like jazz music with a main female singing and male and female background vocals. ,0.2219
R_3hzlgRTW9l5Bkim,https://udio.com/songs/58339466-2de5-4409-be95-54e99dd0b88b,"old school soul, deep soul, traditional black gospel, r&b/soul, motown, southern soul,",I hear beats like when someone uses one of those keyboard things to input sounds. A woman is singing over it and there is some backup vocals. She hits high notes.,0.2419
R_3hzlgRTW9l5Bkim,https://udio.com/songs/63da007b-14c8-431d-a856-de2456d8d63e,"a song about the depth of a grandparent's advice, heavy metal",There is a guy talk-screaming in another language. It seems like the punk music with electric guitar.,0.2575
