hdb_label,hdb_names,id,new_name,prompt,source,title,umap_x,umap_y
53,song_poop_pant,0005621d-b333-478a-9a3a-fe0083e2af52,poop,1990s spice Girls style song about baja blast spraying out of your butt after you ate too much taco bell,udio,Baja Blasting,-1.7857160568,-1.3453940153
60,rock_roll_hard,00060044-9d45-4ed6-a52e-de2f657a1b3a,rock,vietnam era hard rock song,udio,Bombs replaced our Lullabies,-5.1098518372,1.4276646376
74,metal_epic_symphonic,00064e7f-4261-44a3-bc2c-c81671c2891e,metal/symphonic,"Song about Settlers of Kalguur, Female vocalist, Male vocalist, Rock, Symphonic metal, Metal, Melodic, Epic, Heavy, Uplifting, Power metal",udio,Legends of Kalguur,-5.9917373657,4.2367181778
-1,outliers,00067bd2-d2ae-4e7b-b30f-dfe84e579a07,outliers,"Power metal song about Monkan and Miikas travel over the sea to Moomin-land, pirate metal, catchy, uplifting, ",udio,Voyage to Moomin-land,-4.3603615761,3.3523817062
-1,outliers,00074a38-fad4-4820-b6ad-862aefd61c32,outliers,"ukulele, female vocalist, happy, melodic, uplifting, sentimental, bittersweet, ",udio,Once aint enough - Final,-7.4246487617,-0.0562596656
73,pop_female_upbeat,000fede0-affd-45fc-acb8-dc3bc347f76f,pop,"oops, female singer, I did it again, Pop Music, 2000s Hits, Iconic Songs, Dance Pop, Teen Pop, Music Video, Chart Topper, Catchy Chorus, Classic Pop Song",udio,Oops! (...I Pooped in My Pants),-8.1318330765,-1.6608865261
-1,outliers,0010170c-3420-412d-945c-a0bae9d30871,outliers,I’m flying to luxembourg from madrid. Funky soul,udio,Twilight Flight to Lux,-5.9109587669,-2.493386507
30,hop_hip_rap,001e691b-2f89-47d3-85a4-3a54867b13f0,hiphop,"old school soul, hip hop rap, boom bap, east coast hip hop, sampling, rhythmic, energetic, clear lyrics, pronunciation , playful, clear vocals, dark, trap soul, ",udio,Prime Time,-4.5496506691,-5.2274708748
-1,outliers,002bb206-4d90-4dde-9feb-8896a987ade0,outliers,violin,udio,Echoes of the Desert ext v1.2.2.2.1.2.1.2,-6.3594522476,1.8117748499
30,hop_hip_rap,72db19ec-9dd2-4da3-a9bc-c1ae0c0d8404,hiphop,"grime, P money style, Venom a street gang in los santos, Red flag, always down to war",udio,Streets of Venom ext v2.2.1.1,-3.1818270683,-4.6061034203
-1,outliers,72dfabcd-d3f5-4849-8d70-aabb6115d7f9,outliers,"somber sax, cellos, 12 string guitars, Ulver, avant-garde prog rock/jazz, echoing acoustic guitars, ethereal, prog, male vocalist, melodic, whimsical, introspective, bittersweet, sombre, sentimental, rhythmic",udio,'Til the Tender Comes,-7.3516974449,2.5299448967
-1,outliers,72e187bf-00d5-405b-bf62-25b6a76a64dd,outliers,"[Chorus]
I'm too tired, too stoned, too stupid to leave the house,
Can’t find my shoes, and I fed my mouse.
The great outdoors is a scary place,
So I’ll stay in here, with crumbs on my face.",udio,4201 (Too Tired),-1.6549942493,0.1075708494
-1,outliers,72e59732-107a-4afc-b205-17e27eba0886,outliers,folk style song with happy vibes,udio,Grasshopper's Melody,-3.6339502335,-0.5299545527
-1,outliers,72eb0968-7d85-423d-8c63-ffa50a7555b3,outliers,"Melodic, Radio broadcast recordings, Sampling, Plunderphonics, Sound collage, Breakbeat, Trip hop, Progressive electronic, Repetitive, Playful, Lo-fi, Eclectic, Instrumental, Quirky",udio,Buy now!,-7.5095281601,-2.0441260338
18,rock_song_pop,730bb7c8-e47f-4962-a1c4-508abfabd840,rock,"rock opera, 70's, the ballad of squirtin' curtis",udio,Curtis' Lament,-5.6279740334,0.6972382069
-1,outliers,73130492-d918-4d04-9e4a-f2bb367fdc83,outliers,"electronica techno, braindance,  sampling, melodic, ",udio,Echoes in the Circuit[s],-7.7874517441,-3.3050436974
-1,outliers,387168bf-d24e-4a16-8e3f-faaf832e47df,outliers,"soulful blues, female vocalist, slow-tempo, I've got the electrologist blues, electrons flowing the follicles glowing, clients that cancel without my knowing, crotches or faces it's all just the same, they want all my time like they're playing a game, 12 hours a day my eyes get so tired, my hands are just flying plugged in and wired, my foot keeps on flicking the foot pedal is sticking",udio,Electrologist Blues,-6.2250823975,-0.0183765218
-1,outliers,3873f06b-0a90-49ff-872b-47ae2deae55d,outliers,"80s rock, melodic rock, soundtrack, anthemic, motivational, energetic, power ballad, uplifting, training montage, classic rock, action movie soundtrack, inspiring",udio,Rise Above the Doubt,-7.558781147,1.9663937092
25,female_hip_rap,38830766-7a48-4efd-810b-70dcf1b31239,hiphop,"Rap, Female vocal spoken, rock ",udio,Melodic Claim ext v1.2,-6.1643500328,-4.2879767418
-1,outliers,3884cc85-947c-42b1-9202-17616ecd7daf,outliers,"electronic, electro, downtempo, alternative rock, Taylor swift, electropop, ",udio,Electrified Hearts ext v2.2.1.2.1.2.2,-7.8162589073,-1.280105114
-1,outliers,389af50d-4f5b-4efe-b9dc-62ee4ad5fb3c,outliers,"A rom-com between a volcano and an iceberg, tropical house, chillwave",udio,Heat and Frost ext v2,-6.6188287735,-3.0930969715
-1,outliers,38b3a85d-8803-4e79-908d-3a2c9c28e5ea,outliers,"synthwave / electro, symphonic trance, melancholic, death",udio,Gone,-8.9889259338,-1.2170943022
-1,outliers,0076203f-9ed1-4ab1-b4b9-7ab2724dfb84,outliers,"vocal harmony, bluegrass gospel, happy ending",udio,Ungodly at Ease (Ps 73),-1.2832142115,-0.6441115737
-1,outliers,00bffbd9-96bc-4239-a91e-9b45febf1ada,outliers,"beautiful longing empathetic female vocals, live vocals, limited production, no vocal effects, balanced vocal recording, soft highs vocal eq, soft vocal annunciation forward in mix, natural organic realistic vocals with no digital artifacts, realistic vocals, virtuoso melodic melisma, natural pitch, pay attention to ghost notes and fill them naturally and harmonically, dolby atmos, lossless audio, no audio artifact, no digital artifacting, no digital artifacts, each track sits perfectly in the  mix, perfect radio master, bass boosted, dolby studio master, perfect production, perfect vocal recording, Contemporary R&B, Pop, Dance-Pop, Pop Rap, Adult Contemporary, Pop Soul",udio,Carolina-O (R&B Vocal Cover),-8.2259140015,-1.6752641201
42,pop_japanese_anime,011912d3-9e62-403b-a8d8-10785d5fdf43,japanese,"passionate, japanese rock, cute female vocale",udio,Just be sincere,-7.1982941628,-0.7517646551
-1,outliers,016db006-bc8f-4974-a88e-26c60ea41bfb,outliers,"a song about the profound effects of small actions and the interconnectedness of our lives. “Ripple Effect” features a blend of folk, indie, R&B, alternative, and electronic influences. The song creates a warm, organic atmosphere with a mix of acoustic and electronic elements, giving the track a unique and modern feel. The song includes acoustic guitar, soft electronic beats, and atmospheric synths. The song would have gentle folk melodies, warm bass lines, and subtle R&B rhythms are woven together to create a textured and inviting soundscape. female vocalist, folk pop, folk, indie, indie pop, r&b, alternative, electronic, indie pop/synth-pop, ethereal, atmospheric, love, longing,  melancholic, melodic, acoustic guitar, acoustic, alternative r&b, alt pop,  lush, mellow, sentimental, introspective, poetic, soft, lonely, cute, sweet, acoustic, acoustic guitar, folk pop,  warm, passionate, rhythmic, nocturnal, ",udio,The ripple effect ,-8.5377511978,0.0709474683
75,song_metal_heavy,0196cfad-5e1e-4763-a009-882c11ff544d,metal/heavy,"An epic orchestral hard rock song praising general Roderick the Red, a vampire general defending a fishing town against an invasion of shark people.",udio,Crimson Guardian,-3.8996088505,2.627658844
-1,outliers,01d43ee2-c6ff-4b66-aac6-bfe70e1b613a,outliers,"contemporary r&b, soul jazz, female vocalist, smooth soul, r&b, pop soul, soul, Strong female vocals, funk, ",udio,We’re U-hauling ,-7.882499218,-1.6083313227
-1,outliers,025194c6-2d95-418c-abc4-d56a935b58e1,outliers,"progressive trippy tech house, groovy bassline, progressive rock, heavy, distorted, loud, raw, ",udio,Boundless Groove,-8.4781208038,-4.354839325
-1,outliers,0278122e-4fa4-4b86-9aed-2f37123e4b1d,outliers,"german 70s electro, male vocal",udio,User Research,-8.6411762238,-1.6251394749
-1,outliers,b8b0d07f-3757-425a-b7c2-f07c0c9b1e63,outliers,"Country Pop, Contemporary Country Tropical Rock, Country Rock, ellow, longing, sentimental, summer, love, bittersweet, male vocalist, melancholic, lush, deep Man voice, country, acoustic guitar, ",udio,Endless Summer Moments,0.0618546605,-4.0622420311
-1,outliers,b8b0e73b-5f13-4965-a639-cdee4d59c6a1,outliers,"Dark Electro, Industrial, Futurepop, Energetic, cold, mechanical, pulsating, atmospheric, dystopian",udio,Mars-Express 2200 ~,-8.5123062134,-1.4819709063
-1,outliers,b8b3cb7e-ffef-4b5c-a7ad-a72d802d74e0,outliers,soft rock,udio,grease and slop war2,-5.2254314423,1.3931509256
8,lofi_music_create,b8b7d207-a8d3-4b4c-a675-92b29c1b4555,lo-fi,"a  lo fi song about being so high you whitey, a simple lofi drum beat builds with a strong bassy kick and light snare",udio,Drifting Through Silence,-5.7301335335,-1.8491393328
75,song_metal_heavy,b8cea097-737f-4297-a20e-4c51d655fb5a,metal/heavy,"vocal, Medieval Bard starts an uprise through songs, to get people to fight against the corrupt king, without the higher ups noticing",udio,Raise ,-3.8943049908,2.9913389683
-1,outliers,b8d14cc6-2e95-419c-a2b3-ab6268c91343,outliers,a quiet and gentle hyperpop song with quiet and gentle female vocals,udio,For You,-7.3136501312,-1.5601216555
-1,outliers,b8d40231-84f2-424b-8a07-97892b1e5276,outliers,"upbeat brit pop, heartfelt, sweet, love, soft",udio,Burn it to the Ground,-5.713411808,0.0082676914
30,hop_hip_rap,b8d96d3f-f312-404f-87ca-458268b664d0,hiphop,"hip-hop/rap, gangsta rap, east coast hip hop, east coast gangsta rap. Orchestral strings, violin, cello, piano.
Aggressive vocals. Fight/war theme. Feature Melodic chorus/hook.
Feature DJ scratches and cuts.",udio,Walking On Stumps,-4.5558037758,-5.5402317047
42,pop_japanese_anime,b8da315e-89fe-48b7-a3e8-e54c71095caa,japanese,"jpop, female vocalist, fantasy, heroic",udio,Perfect Solution,-7.3849411011,-0.6839780807
-1,outliers,b8ea79c2-bd27-444a-aac4-e679cf916bdb,outliers,"electric guitar solo, electric guitar, biutiful outro",udio,Dance of Shadows ,-6.5584211349,2.0616898537
30,hop_hip_rap,d327a181-1208-40d3-bc07-1bcb41d77bd6,hiphop,A sing about me. Young Black Harem or YBH for short. YBH is singing about how much he enjoys harem life. He has lots of women begging to be with him in the sheets,udio,Harem High Life,-3.0597145557,-3.4987268448
22,soul_funk_motown,d32fd1dd-a351-4585-bffc-de4279147bdc,funk,"soul/funk, 1970s funk, passionate",udio,Come Back to Me,-6.0673737526,-1.818957448
45,song_love_sad,d335599c-38ae-416a-80ec-404743a0697a,love/sad,"a song about the comfort of a lullaby,  pink Floyd, David Gilmore solo ",udio,A lost lullaby,-3.1546406746,0.6666918397
30,hop_hip_rap,d335fa36-56e4-42b2-9678-380d012927de,hiphop,"Male vocalist, Hip hop, Pop rap, Contemporary r&b, R&b, Alternative r&b, Boastful, Introspective, Melodic, Atmospheric, Breakup, Mellow",udio,Hustle of the Heart,-5.1885128021,-4.9515156746
-1,outliers,d3372e30-0840-40fe-af77-efbcdc84e47e,outliers,"bubblegum music, pop, choir, cheerful, repetitive, 1969, male vocalists, harmonies, upbeat, rhythmic, melodic, catchy, sing along, handclaps, ",udio,Bubble Bubble,-7.0087461472,-0.3694347143
54,country_song_pop,d3380d65-ca48-4a27-bd35-ff998d420930,country,"country, ",udio,Cellar Memories,0.9762331247,-1.8448787928
