url,title,prompt,tags,lyrics,status
https://suno.com/song/7a701166-3bcf-4168-b343-fd7390ee9f94,Building Dreams,"electronic, hypnotic glitchwitchelectrohouse LightJourner glitchmallsoftpiano post-edmravewave phonktopia ibizaromancehouse, amazing powerful ultra high cries, Layers of swirling, clean guitars drenched in delay build an expansive, sweet electric guitar, accordion, Heavy metal, funk bass guitar, female kawaii ephemeral vocals, A high ENG and chaos, Female Vocals Psytrance goa progressive trance catchy dark influenced mysterious deep bass trancescendend spirals dynamic danceable groovy slapped bass 808 sounds, A smooth blend of emo pop vocal melodies, grunge lo-fi, bitter and raspy female vocals, Uplifting J-Trance anthem, :( Jonathan Kennedy ):, Indie Pop, Dream Pop, Indie Rock, goa, psytrance, futuristic, Glitch-infused jazz-electropop with dynamic contrast, Funky, Violin, Piano, Funky Jazzy Undertones, J-Rock, Epic, Cinematic Rock, Male deep broken vocals, Violin, Synth-Pop, Genre: Swing Jazz/Big Band BPM: 120 Mood: Light, The track opens with a punchy bass solo, ""Oathbound Steel"" is a cinematic melodic death metal anthem forged in 440Hz fury, The track fuses chill dubstep, Rock, Howlin' Loudspeaker voice, cinematic ballaes, acoustic, Virtuoso Musicians, Hausercore Cello Technique, female singer, piano, emotional, Genre: Upbeat swing jazz with soulful female vocals BPM: 140 Mood: Energetic, violin, ethereal atmosphere, [Female Duet, Alternating Vocals, melodic metalcore electronic pop, (no style), Traditional Japanese instruments like koto and taiko anchor the verse with pentatonic melodies, Glam Pop, Uk Garage, Psychedelic, 90's dance-pop, deep house, french house, Hip hop R&b, Nostalgic dark metal technical bass, C Major, G Major, stepwise melody, Atmospheric Grunge Rap, Instrumental, Industrial, deep male vocal, bass solo, electronic, rhythmic, Electropop, Carimbó, Progressive Dance, A glitchy, emotionally charged alt-pop track featuring a male lead vocal, Electro, dance, synthwave, Create a high-energy Eurodance and electropop track inspired by early 2010s Russian girl group ""Serebro-style"", [Genre:(Mandarin tongue twister rap × playful glitch beat, Emotional Depth, Piano","electronic, hypnotic glitchwitchelectrohouse LightJourner glitchmallsoftpiano post-edmravewave phonktopia ibizaromancehouse, amazing powerful ultra high cries, Layers of swirling, clean guitars drenched in delay build an expansive, sweet electric guitar, accordion, Heavy metal, funk bass guitar, female kawaii ephemeral vocals, A high ENG and chaos, Female Vocals Psytrance goa progressive trance catchy dark influenced mysterious deep bass trancescendend spirals dynamic danceable groovy slapped bass 808 sounds, A smooth blend of emo pop vocal melodies, grunge lo-fi, bitter and raspy female vocals, Uplifting J-Trance anthem, :( Jonathan Kennedy ):, Indie Pop, Dream Pop, Indie Rock, goa, psytrance, futuristic, Glitch-infused jazz-electropop with dynamic contrast, Funky, Violin, Piano, Funky Jazzy Undertones, J-Rock, Epic, Cinematic Rock, Male deep broken vocals, Violin, Synth-Pop, Genre: Swing Jazz/Big Band BPM: 120 Mood: Light, The track opens with a punchy bass solo, ""Oathbound Steel"" is a cinematic melodic death metal anthem forged in 440Hz fury, The track fuses chill dubstep, Rock, Howlin' Loudspeaker voice, cinematic ballaes, acoustic, Virtuoso Musicians, Hausercore Cello Technique, female singer, piano, emotional, Genre: Upbeat swing jazz with soulful female vocals BPM: 140 Mood: Energetic, violin, ethereal atmosphere, [Female Duet, Alternating Vocals, melodic metalcore electronic pop, (no style), Traditional Japanese instruments like koto and taiko anchor the verse with pentatonic melodies, Glam Pop, Uk Garage, Psychedelic, 90's dance-pop, deep house, french house, Hip hop R&b, Nostalgic dark metal technical bass, C Major, G Major, stepwise melody, Atmospheric Grunge Rap, Instrumental, Industrial, deep male vocal, bass solo, electronic, rhythmic, Electropop, Carimbó, Progressive Dance, A glitchy, emotionally charged alt-pop track featuring a male lead vocal, Electro, dance, synthwave, Create a high-energy Eurodance and electropop track inspired by early 2010s Russian girl group ""Serebro-style"", [Genre:(Mandarin tongue twister rap × playful glitch beat, Emotional Depth, Piano",,success
https://suno.com/song/00002363-4eb5-4a9f-bfa7-c801c829f2d3,Я всё же пройду,romantic epic metal ballad,romantic epic metal ballad,,success
https://suno.com/song/00005c16-cdf5-4f83-9c1b-65c6f9462872,Insomnia,Edm,Edm,,success
https://suno.com/song/00007e10-f985-4a0a-86b2-21ead5931104,ABXX - keep in dream,"groovy electropop, lofi, melodic","groovy electropop, lofi, melodic",,success
https://suno.com/song/0001502a-0e37-4f0c-808c-291227190c93,Kau Bahagia Bersamanya,Pop Chill Sad Male,Pop Chill Sad Male,,success
https://suno.com/song/000201b3-1a93-4023-8b00-94b7c2a0b004,我們這樣共同委身,"ballad, emo, pop, in mandarin","ballad, emo, pop, in mandarin",,success
https://suno.com/song/000364ba-26f7-44d5-9698-b75e322dc8a1,There is a paradise in your beautiful ey,"acoustic guitar, pop, beat, electro, rock, electronic Piano and violin with high bass, guitar, drum","acoustic guitar, pop, beat, electro, rock, electronic Piano and violin with high bass, guitar, drum",,success
https://suno.com/song/0003f586-fd04-477c-b11c-b255269637ad,2,"guitar, bass, beat, pop","guitar, bass, beat, pop",,success
https://suno.com/song/0005e51d-3c13-4761-9782-f642f370d2e6,Ainda há esperança,"Gospel, sincero, acústico, violão, piano, voz masculina, emotional","Gospel, sincero, acústico, violão, piano, voz masculina, emotional",,success
https://suno.com/song/000673ea-a2a1-4412-bc23-beb063ff2e97,Yesterday (the beatles cover),"dark ambient, folk rock, guitars, cello, male voice","dark ambient, folk rock, guitars, cello, male voice",,success
