rank,song_id,count,mean,std,url,prompt
1,72dda986-55c6-450e-8,4,0.6295,0.0578,,"a dark and sad country instrumental, acoustic guitar, slow, light drums, downtempo melancholic, (70 bpm), depressed,"
2,ee070cac-0af1-4d86-9,5,0.6249,0.0425,,"Country pop song, being young and moving on from your past, female vocalist, diva country, motivating, includes guitar solo"
3,ec9f0bca-7956-4fa4-8,5,0.622,0.1746,,"A bright and cheerful pop song sung by a female vocalist, in the style of a Japanese anime theme song."
4,959ae3b5-07a9-464c-8,5,0.5932,0.0962,,"sad song sang by a man with a very nice voice., pop, indie,"
5,a817156f-977c-4a72-8,6,0.5552,0.0419,,"Sad and slow grunge instrumental, 80bpm, 2000s production, (rick rubin), (modern sound),"
6,f5e3d294-de4a-4be3-9,5,0.5549,0.0545,,"epic film score by hanz zimmer, rich orchestration, hybrid electronic, dark, suspenseful"
7,7606dd90-1f55-4f82-8,5,0.5531,0.1827,,starts as old school hiphop but morphs into uk drill
8,bea4ed25-c74b-4eca-b,5,0.5484,0.0508,,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean."
9,b81b00c3-f3c4-4ba7-8,5,0.547,0.047,,"Male vocalist, Northern american music, Country, Regional music, Contemporary country, Contemporary country, Country pop, Melodic, Introspective, Love, Longing, Passionate, Bittersweet"
10,246bf3fe-a489-4545-a,5,0.544,0.0684,,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean."
11,837f7d1b-23e2-4a0f-8,5,0.5321,0.1416,,"Song about the power of love of a couple, opera, male voice"
12,1eccf497-ffe0-4f0d-a,5,0.5292,0.1359,,"Progressive rock, dark vibe, heavy guitar, loud drums, male vocalist"
13,a73408ef-f0f9-4280-8,5,0.5284,0.1489,,"russian, bard song, folk song, acoustic guitar, female singer, emotional, 100 bpm"
14,53d73137-83c6-4e4f-a,5,0.5224,0.0545,,"A song about humanity doomed to end, rock, classic rock, guitar solos, dark ambient, slow rock,"
15,5de9f530-88d9-44a5-9,4,0.518,0.0509,,"synthwave, funk, saxophone, upbeat, 2019, serene, catchy, ambient, about a summer party, female vocalist,"
16,e89bff81-fa30-4d94-8,6,0.5174,0.1103,,"tv show intro, male vocalist, big band, piano, jazz, swing, standards, up beat, fast"
17,517bf045-71e3-4661-b,5,0.5172,0.0955,,horrorcore rap with emo guitar and phaseshifting electronic bass. the squirrel is here for his walnuts
18,4e5af4be-1277-4097-9,5,0.5103,0.0455,,"Upbeat Reggaeton dance party song with a drop and variety, heavy bass, rythmic, Bad Bunny, feid, daddy yankee, 2023"
19,cdb23f80-6a13-4777-8,4,0.5084,0.0882,,"A Song about whining , pop, r&b, vocal, hip hop,"
20,b63b2d28-ca13-4ae8-b,4,0.5047,0.077,,"A song about the foggy autumn morning in the forest with the smell of wet woods and soil,electronic,"
21,479be710-4ceb-4509-8,5,0.503,0.1425,,"a song about my dog, jazz, swing, vocal jazz, easy listening,"
22,77c467d4-d021-4b6e-b,5,0.5019,0.2043,,country song about drinking beer and riding tractor while wearing overalls
23,754c7a3c-64af-4a19-8,5,0.4987,0.1307,,"compressor effect, electronic music, house music, technopop, chiptune, synthwave / electro, male vocalist, 1980s,"
24,325c3403-d7f7-4fa0-8,5,0.4969,0.1001,,"melancholic, duet female, rock, heavy metal rock, heavy style, guitar, male, girl, children"
25,1c339881-c51b-4318-a,6,0.4953,0.0886,,"female vocalist, guitar, bass guitar, drums (drum set), uptempo, uplifting, anime soundtrack, melodic, j-rock, piano rock, upbeat, catchy, piano rock,"
26,d2a0689f-4bd9-496a-b,5,0.493,0.0809,,300hz vibe Big Rave HOUSE -meditation Festival House Music with Choir Vocals
27,db477bec-7b99-4ca2-8,5,0.4907,0.0795,,"A song about a man named Dude working for the county for feline emotional well being., blues, delta blues,"
28,7279ca60-c53e-4913-a,5,0.4902,0.1279,,"60s baroque pop about Mister Muffin, whimsical, britpop, male vocals, backing vocals"
29,6eec1cc9-81f9-40d3-9,5,0.4859,0.0362,,"AlienAPI whispering messages into the Human Hosts Brain., hard rock, guitar, male vocalist, heavy metal, electric guitar, album rock,"
30,583280dc-ce99-4a35-a,5,0.4852,0.0986,,"synthwave, funk, upbeat, ambient, serene, 2019, saxaphone, synth,song about the beautiful wonders of life, female vocalist,"
31,94894312-0261-4956-8,6,0.4816,0.0411,,"A song about the greatness of menachem begin. hip hop, 1998, east coast hip hop,"
32,1e28722f-2c5c-474e-a,5,0.48,0.0983,,"Post-Bop, Jazz Fusion, instrumental, technical, melodic, warm, passionate, energetic, playful, guitar, archtop guitar"
33,c21d9593-e7e4-41fe-b,6,0.4791,0.1169,,"Technical Death Metal, Progressive Metal, complex, heavy, male vocalist, melodic, aggressive, angry, energetic, epic, uncommon time signatures, 1995"
34,d2c86c3d-07fc-4390-8,6,0.4781,0.083,,"A ambient trap song about chilling at the beach during a sunset, electronic, saxophone, synthesizer,"
35,3c401ec0-d117-449d-a,3,0.4758,0.0609,,"A poor girl trying to make her way in life, r&b, hip hop, contemporary r&b,"
36,33858c28-6c40-43d6-9,5,0.4757,0.043,,"a progressive rock ballad, like we are in the 70s"
37,96382602-5e97-430f-9,5,0.4664,0.0431,,"Progressive House inspired by Sasha from the 1990s, deep dark melodic ethereal space trance with a heavy driving baseline"
38,43eef8c0-03fb-483c-8,5,0.4662,0.0507,,"A song about a smooth trombone solo, classical, orchestral, symphony, modern classical,"
39,54f0f9eb-f14f-4d8d-b,5,0.4656,0.1671,,"A song that will sooth my baby to sleep , blues, piano blues,"
40,a0c69d90-4070-4bb7-b,5,0.4615,0.1468,,"electronic, club, synth-pop, house, dance, electro, female vocalist, melodic edm"
41,4ce5fcbf-3111-4a0d-b,6,0.4574,0.078,,"upbeat song for motion design portfolio, techno, instrumental no singing"
42,ae81034e-2b91-4d08-8,5,0.4544,0.0352,,"screaming powerful dramatic female vocalist, Symphonic, epic, warlike and martial, rhythmic and percussive, grandiose,"
43,ae86cd19-fca5-4ad7-b,5,0.4542,0.1088,,"punk, bouncy funk pop hit italian folk bombastic feels good"
44,8b332c1e-f10e-4afc-a,5,0.4524,0.0735,,"synthwave, saxophone, 2024, ambient, beautiful, electronic dance music, synthesizer, melancholic, melodic, male vocalist, about summer fading away,"
45,88bf780d-da3b-440d-9,5,0.4524,0.0984,,"about an old soul trapped in a vehicle through the centuries, electronic, synthesizer, synth-pop, keyboard, horror, soundtrack Instrumental"
46,45aa2509-8554-4bf3-8,5,0.448,0.0812,,"song about rubber ducks in the bath, heavy distorted guitar, deep bass, nu metal, rap rock"
47,1fce4fac-fe02-42f3-9,5,0.4449,0.0557,,"Title is something in the air, like Bonobo, electronic, club, house, dance, jazz, euro house,"
48,42f15631-a541-4b30-8,4,0.4445,0.0957,,"rock, pop rock, drums (drum set), classic rock, guitar, bass guitar, 80's, male vocalist, energetic, classic hard rock,"
49,34c793a1-0af4-469e-9,5,0.4443,0.0971,,"a melody gardot style's song, post modern jazz, female voice, double bass and piano, jazz,"
50,4e733c89-a6a1-4094-8,5,0.4428,0.1556,,"Dream pop, ethereal atmospheric song, about lost love, shoegaze, indie pop, bittersweet,"
51,86bd408c-0cf2-4f86-a,4,0.4424,0.0358,,"A song about mango tango, Female vocalist, Electropop, Electronic dance music, Eclectic, Energetic, Rhythmic, Rave, Anthemic, Call and response"
52,6fdab3ec-7a58-4272-8,5,0.4422,0.1395,,"psychedelic indie pop, sunset chill vibes, counter culture mixed with bossa nova"
53,5583d3b7-8692-4c18-8,6,0.4413,0.162,,A Broadway musical about a duck tolling retriever named “Stryker” and two ginger cats named Chezzy and Scholes
54,4fdeb871-5590-435c-8,5,0.4409,0.0198,,Minimalist analog electronic music with odd time signatures and abstract melodies
55,20752527-76a9-4e5a-b,5,0.4389,0.0369,,"a song inspired by Nicholas Roerich paintings, ambient, locrian mode"
56,0f2e29c0-780e-45ae-b,4,0.4352,0.0223,,"a day in the life of a kickboxing worrier, trap, rap, hiphop"
57,0c1cecb1-1601-43cc-8,5,0.4348,0.0538,,A song about board games dungeons and dragons and fantasy style music
58,a6971245-b52e-472d-a,5,0.4324,0.069,,"American gothic doom metal, type o negative, rich bass voice"
59,9a2bd396-3954-4d40-b,5,0.4311,0.0612,,"guitar jazz, old french singer with south accent, sad ballade"
60,523ab434-2e54-4441-9,5,0.4303,0.1365,,"A song about daily driving exotic cars, hip hop, trap"
61,31e86412-c270-4bcb-8,5,0.4303,0.0648,,"punk, bouncy funk pop hit italian folk bombastic feels good"
62,f87d8dbf-83a9-4c58-a,5,0.4298,0.0898,,"Love and loss in north west England , pop rock,"
63,1fcc61c5-7033-469e-9,6,0.4262,0.0615,,"A Melodic drill/jersey club song that samples G-Funk. (Minimoog voyager synth, analog synthesizer, Sampling, G-Funk Piano, laid-back)."
64,42ef4a9a-164f-480e-9,5,0.4247,0.2055,,"A song about humanity doomed to end, rock, classic rock, guitar solos, dark ambient, slow rock,"
65,84deb4de-d0fb-4e1d-a,5,0.4225,0.1509,,"Cool Jazz, Hard Bop, instrumental, acoustic, improvisation, mellow, energetic, nocturnal, soothing, playful, melodic, piano blues, piano jazz, piano"
66,97674f07-7bc3-404e-9,5,0.4185,0.0857,,"epic song about gogeta vs broly, heavy drums, epic guitar, piano, english"
67,4cd02c55-36e8-46dd-9,5,0.4183,0.1608,,"van halen, led zeppelin, game music, energetic, 90s, something similar to van halens aint talking about love"
68,0a1282d5-b306-49f4-b,5,0.4181,0.0504,,"A song about programmer named Emmanuel who became disillusioned with the corporate world and became a baker., jazz, soul jazz,"
69,6184d460-21d8-4a0c-b,4,0.4175,0.045,,"A song by a boy band about his demons , pop rock,"
70,304f77ae-6961-4c73-b,4,0.4152,0.0648,,"synth-pop, house, about chicken on a stick and fish oil"
71,8395a570-7ed2-4c0c-a,5,0.414,0.1098,,"a song about freelancers working on artificial intelligence projects on freelancer.com , pop,"
72,7536c885-e926-4f7e-b,5,0.4114,0.0772,,A romanian song about going home after work. Pop song
73,6dfa3eea-e6cf-46fb-a,5,0.4107,0.047,,"A song about sexy Annie in Hong Kong , rock, alternative rock, indie rock,"
74,65239b62-1cec-4b3a-9,5,0.4107,0.0508,,"A song about money, women, rockstar lifestyle, in the style of Playboi Carti"
75,e66caf62-70ce-418a-8,6,0.4085,0.155,,"hip hop, song about having to eat the wrong brand of baked beans"
76,8235499a-b4cf-4189-9,4,0.4078,0.1236,,"A german song about what elements you need to form proper sentences, electronic, electro,"
77,1fc27a56-36f6-4a2b-9,4,0.4059,0.0527,,"A german song about what elements you need to form proper sentences, electronic, electro,"
78,91f9b933-c02b-47df-9,6,0.4059,0.0697,,"bubblegum pop about imageboard culture, deep female vocalist alternative, happy, uplifting"
79,b0f6dcc3-7aeb-4d48-9,5,0.4047,0.0711,,"a song about working in a print shop in houston texas , houston sticker is the name , hip hop,"
80,876c1749-d348-48e6-a,5,0.4047,0.1022,,"Male vocalist, Rock, Alternative metal, Nu Metal, Electronica, Alternative rock, Glitch, Rap rock, Passionate, Bittersweet, Anthemic,"
81,8b21762a-c0c3-449e-8,5,0.4046,0.1142,,old country song about crowdstrike making all the computer go blue screen of death
82,3c41851f-03a5-464c-9,5,0.4045,0.0433,,"A song about the benefits of Technology in Africa. , pop, traditional pop, electropop, euro house, dance-pop,"
83,6045b0b6-6270-465c-9,5,0.4025,0.1291,,"spaghetti western, Twang guitar,Dwayne Eddie, train sounds in background, Birds squawking, wind blo"
84,d2bec18a-bac3-48cb-b,5,0.402,0.1125,,"1985, funk, dance-pop, with male vocals in the style of Michael Jackson,"
85,9e8106ce-2e4a-450c-8,5,0.4017,0.119,,a fast-paced 90's influenced alt/indie song about tesla departures leaving.
86,d8545371-3d1e-4271-8,5,0.4017,0.0446,,"A song about fear of the speed of change future shock, acoustic guitar, lo-fi, female vocalist, Tracy Chapman"
87,4ae99a8d-f134-4966-a,5,0.4017,0.0728,,"Georgia Dobbins and William Garrett's song Please Mr. Postman, beat group, the 60's style"
88,2b52b4c3-c6fb-47b5-b,5,0.4014,0.0717,,"a bright fun pop song jingle with female sung lyrics ""lonsborough motor service - right here for you"""
89,75bc4c3d-4d24-4d21-a,5,0.401,0.0977,,"Deep Electro House, amazing vocals, amazing voice, Uplifting, Futuristic, electropop, Complextro, 2024"
90,a0ca57ef-9516-411f-a,5,0.4,0.047,,"a song about the serenity of early morning fishing, techno, ambient,"
91,7a83cea8-c6f4-4944-8,6,0.3999,0.1122,,"pop, female vocalist, sarcastic, breakup, high school girl calls her ex-boyfriend melodramatic"
92,1acbac5c-f315-45df-8,4,0.3986,0.0924,,"female vocalist, r&b, alternative r&b, slow beats, hip hop, soul, contemporary r&b,"
93,01d43ee2-c6ff-4b66-a,5,0.3946,0.1687,,"contemporary r&b, soul jazz, female vocalist, smooth soul, r&b, pop soul, soul, Strong female vocals, funk,"
94,fa94bad4-6431-40a7-9,5,0.3931,0.0464,,"hard bass drum, masculine male voice, latin, hip hop, raegetton"
95,9481c38d-df7b-42cc-b,5,0.3916,0.0803,,Please Compose a symphony-like piece in style of Anton Bruckner 8th as a Film opening sequence
96,be9d0001-9386-4d1a-b,5,0.3902,0.1163,,"four piece classical quartet, somber and pensive, solo vocalist singing about being awake all night"
97,a5ac307b-e75d-47b1-9,5,0.3868,0.1231,,"Grime, fast-paced, energetic, urban, aggressive, gritty, raw, intense, rhythmic, dynamic"
98,bec6e67b-3c7f-4554-9,4,0.3866,0.0621,,A music replicating Italian new wave genre of the 80’s as it was Litfiba albums like “17 re” or “dsaparecido”.
99,df09d518-7cb4-43d2-b,5,0.3863,0.0844,,"melomandiz beats intro, rage phonk beat, playboi carti, mad 808s"
100,6cff0016-0d2e-4199-9,5,0.3857,0.1361,,"acoustic guitar, acoustic rock, male vocalists, blues rock, fingerstyle, singer-songwriter, folk-pop, electric guitar, pop rock, classic rock, contemporary pop/rock,"
101,9a4d75e7-de00-4931-9,6,0.3846,0.1537,,A 90s hip hop rap about how fried chicken is the best food on the planet
102,0cd8226a-a270-4165-a,6,0.3841,0.1049,,a country song sung by a man about shopping for a carpet cleaner that will remove cat fur from carpet
103,82297794-bd7d-4718-9,6,0.3836,0.0409,,Please Compose a symphony-like piece in style of Anton Bruckner 8th as a Film music for a bike-chase
104,5d465d7f-d93d-47f3-9,6,0.3814,0.0407,,a song about creating a computer vision algorithm in Bach and Beethoven style
105,3a357ba5-4c78-432d-8,5,0.3803,0.1007,,"pop, a song with chinese traditional poems as its lyrics."
106,85c89132-e0ce-42d5-9,4,0.379,0.0381,,"a song about coming home after a long time, pop, indie, bass, japanese rock"
107,af1cb15b-e547-4e02-8,5,0.3787,0.1075,,"hip hop, electronic, synthesizer, 2020, upbeat, serene, male vocalist, catchy, beautiful, melodic, uptempo, about amazing feeling of a theme park,"
108,346756fd-269e-4421-8,6,0.3749,0.0582,,"a song about the beauty of a multicultural festival, techno"
109,df0117f3-743c-460c-9,5,0.3741,0.1102,,"male vocalist, concept album, hard rock, warm, in the style of green day"
110,0244da5b-f3c0-49b4-b,5,0.372,0.042,,A rap song in the style of Eminem with harpsichord. Fast 90s rap
111,115645aa-6751-4e25-8,5,0.3692,0.0605,,A house song about finding a 20 in an old jacket
112,f8439571-23e6-4c8a-9,5,0.3665,0.097,,"hip hop, hardcore hip hop, gangsta rap, east coast rap, west coast hip hop,"
113,6067225b-504a-46e1-8,4,0.3646,0.1032,,upbeat eurobeat song as heard in the anime Initial D
114,d69d66d4-df72-4002-8,4,0.3642,0.0962,,"Amazing Grace, gospel, r&b, emotional, buildup, epic ending, orchestra, high violins, brass, film score, triumphant,"
115,05c85698-35f9-4ca9-a,5,0.3633,0.0905,,A jazz funk song about 4 middle aged men getting funky in New York City
116,86b81fdf-9b70-4200-a,6,0.3626,0.0732,,"A song about going to the bar Oskars, alternative rock/pop rock,"
117,af092e6b-dce4-4354-8,5,0.3605,0.075,,"A song about hope for Nigeria's future, sang by a female artist"
118,0e4f6e42-e8a1-4618-9,5,0.3604,0.1663,,"Instrumental orchestral, cinematic music about a girl and her Robot best friend"
119,0825d51f-0845-4009-a,6,0.3587,0.1807,,a sentimental song about love that's lost and hope that it can be found again
120,3f9b3ba7-7b13-4d04-8,5,0.3586,0.117,,"Theme tune for the Game of Beef board-game, vocal, tv themes,"
121,7555871e-1973-49c5-b,4,0.3571,0.2236,,"psychedelic indie pop, sunset chill vibes, counter culture inspired by tame impala and tyler, the creator"
122,7a6c8429-fbc7-4e0e-b,5,0.3561,0.0908,,"a song about mixing potions in oldschool runescape, rap rock,"
123,93a18e93-3e7e-4dfb-9,4,0.356,0.1759,,"Americana, Country, Bluegrass, Melodic, Passionate, Lush, Rhythmic, male vocalist, anthemic, uplifting, pop, playful,"
124,291b2f9c-c41b-4ab8-9,5,0.3557,0.0568,,a jimmy buffet style tropical song about two cats lili and boomer enjoying the tradewinds and listening to the birds
125,566f7399-846c-4579-a,6,0.353,0.094,,A song about a tech consultancy called Red Badger. In the style of T bone walker
126,2eb94ad9-fe4a-4c6e-9,5,0.3498,0.1125,,A rap about architecture in the style of MF Doom
127,bc812733-b45b-4d2b-9,5,0.349,0.1207,,A big beat prodigy like song with the lyrics ‘it’s big old Ty in his EV automobile’
128,168acd2c-563d-4357-b,5,0.348,0.078,,Create a hip hop beat like 4th Disciple from Wu-Tang and Stoupe from Jedi Mind Tricks
129,c03a69e7-7bcb-4c85-b,5,0.3479,0.0869,,"Song about I can shake but can’t bake , Rock Musical, Standards, 1980s, duet"
130,56487772-7530-4ead-a,5,0.3476,0.0826,,a song about losing my keys in the style of amy winehouse
131,ee0aa1b5-2bb6-4770-a,6,0.3448,0.2185,,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,"
132,61375a85-29d0-4b45-9,4,0.3442,0.0642,,"A sci-fi epic movie theme about a space pirate named “Vilde”, synth-pop,"
133,89fe259f-467e-4f79-9,4,0.3436,0.0457,,A psychedelic tinged post-punk song about destroying Bradford pear trees to protect the biodiversity of our ecosystem
134,4ad18a9e-43ea-4de2-b,4,0.3434,0.0582,,"male vocalist, alternative/indie rock, punk rock, vocal harmonies, melodic, energetic, rebellious, marshall amp, drum fills, passionate, guitar, analog synthesizer,"
135,813d9197-3774-4fbd-9,5,0.3424,0.0185,,"You will leave, arabic, rap/hip-hop, political rap, new wave, synth-pop"
136,27f40db1-6caa-4c04-a,5,0.3406,0.0919,,an old school hip song about finding a black bear swimming in the water during a canoe trip
137,04a39cf5-a7c3-4d9b-8,4,0.3386,0.0559,,a song about Mark who feasts like a king. Sax solo. Blues.
138,16aa7d0d-3f35-4612-a,5,0.3378,0.0642,,"country, modern country, line dance, americana, that last summer night of vacation before you head back to daily life"
139,f190fc46-b387-4437-a,5,0.3371,0.1444,,"Make a song about a summer day, but make it bluesy with a little bit of hip-hop flare to it"
140,9c7e479a-5c4d-46d9-8,5,0.3355,0.0509,,A song about a secret I must keep style Norah jones
141,22c95ed0-8f48-4e40-a,4,0.3341,0.1302,,"escaping from a void where I am judged , pop, dark by billie Eilish"
142,81a13b0e-aa23-4618-9,4,0.3339,0.0944,,"hip hop, rap rock, pop, soul, funk, dance-pop, on life and loneliness with a catchy hook"
143,c243ba53-0eea-4dfd-b,5,0.3328,0.0684,,"Happy friendly gay pickle whose catchphrase is “I’m a pickle hear me roar”, heavy metal,"
144,21ee8bb8-76c4-41d2-b,5,0.3297,0.0385,,"electronic, mixer boss bx 8, tech, 4/4 140 BMP, trance"
145,3a5cb7e8-d45f-481e-b,5,0.3295,0.1202,,"A viennese song about having eaten way too much. And tipps how to feel better, e.g. drinking Schnaps or Coffee."
146,9a30a0c9-b192-4113-b,5,0.3284,0.1119,,"A singer songwriter war protest song, seventies style, about a manicure set"
147,ea2b91c4-07d0-45b2-b,3,0.3257,0.0513,,"guitar, heavy, percussion, male vocalist, bass guitar, heavy metal, alternative metal, electric guitar, passionate, dark, angry,"
148,20965396-7e93-4354-8,5,0.3255,0.0692,,"A fun 60's cafeteria, fun and upbeat, twist, in the style of: Elvis Presley, Chubby Checker., rock and roll,"
149,924be17b-f5f1-4628-9,4,0.3234,0.1423,,"the smiths, morrissey, post-punk, jangle pop, indie, 80s, minor, fast, alternative rock, guitar, rock"
150,97e26fe2-d45a-46b2-8,5,0.3214,0.0789,,"an electronic rock, downtempo, art rock dark song about ending of humanity"
151,45b5e210-3659-4726-9,5,0.3199,0.1087,,"rock, pop rock, alternative rock song about doo doo boy and his doo doo town"
152,e0aea9d2-f3fe-4e97-a,6,0.3191,0.0668,,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap"
153,957d1ef7-7bd1-4d9a-a,5,0.3143,0.1196,,"a song about forgiving someone that wronged you, pop, funk,"
154,024669e0-0876-403e-8,5,0.3129,0.0414,,a song about stubbing your toe in the style of drake
155,e7de29c9-e9dd-4a06-a,6,0.3126,0.0595,,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,"
156,77056edb-735f-4b6c-a,5,0.3125,0.0922,,"A day in the life of a professional imaginary friend, indie pop, twee pop"
157,e374a9d0-706d-4bf3-a,4,0.3118,0.1191,,"Heavy Metal Metellica-style version of Love Me tender with original lyrics, and sung for Astrid."
158,2c080e35-5332-4784-a,6,0.3109,0.1106,,Song about total eclipse of sun using music of Louis Capaldi someone you love song
159,7e425ed4-399b-4c72-a,6,0.3106,0.1654,,"rock, a teen age love affair in the style of Jim Steinman with heavy piano chords"
160,cc598c82-8126-4cdf-9,5,0.3102,0.0345,,2000s 90s playstation jungle dnb glitch with ethereal jungle pads amen break
161,8399844f-3c3d-44c7-b,5,0.3101,0.0762,,"Add male vocalist with Russian accent. A screaming incoherently punk song called ""5 minutes with Derrick"""
162,d2cf4cdf-f303-4ef9-9,6,0.3097,0.1112,,"a song about a cat plotting to take over the world ,electronic, punk"
163,04834f9a-eb2e-48b4-9,5,0.308,0.0368,,"A folk rock song about three working cocker spaniels name “Abby, Billie, and Punky”"
164,2ec2f5f9-407c-41ea-a,5,0.3056,0.1148,,The rebasing blues. A song about a common software development issue. Modern electric blues.
165,56ea63b7-77b6-401b-a,5,0.3028,0.0302,,Let it be a rap song about neymar the footballer
166,9a496feb-6a67-4f22-a,6,0.3017,0.097,,"pop rock, electronic, rock, male rock lead, synth-pop, male vocalist, catchy chorus"
167,12c3b33c-37c3-42e9-b,6,0.2998,0.1231,,"A song about April eight 2024 total solar eclipse and biblical conspiracy , hip hop,"
168,63da007b-14c8-431d-a,5,0.2992,0.1026,,"a song about the depth of a grandparent's advice, heavy metal"
169,0d11dd6d-73de-4101-a,5,0.2972,0.0447,,write a slow down temp catchy riff that is heavy and easy to hum and tuned to c standard
170,32eeb9c6-e9d0-4ff1-8,4,0.2958,0.0488,,"A viennese song about having eaten way too much. And tipps how to feel better, e.g. drinking Schnaps or Coffee."
171,b7aa837e-a53b-4f8a-9,4,0.2924,0.1641,,"Electronic, Funky House, Electro, Electro house, Deep house, Funk, Vocalist"
172,754e03f6-9cc8-4deb-b,6,0.2897,0.0876,,"A song about a friend named Alf, who is in love again. Being 49 year old"
173,e0cf5438-5034-4112-8,4,0.2879,0.1114,,"A hip hop, reggaeton, greatest hits, eminem, pop rap, Kendrick Lamar, west coast hip hop song"
174,2f52deb7-1947-4e11-9,5,0.2876,0.0674,,a 2000s emo song written from the perspective of Elon Musk about getting dumped by Grimes
175,25e7176b-dcd9-4b4b-8,4,0.2846,0.1144,,"east coast hip hop, hip hop rnb and dance hall,"
176,be7b3ab7-8a50-4437-8,5,0.2816,0.0737,,tame impala song about the whole world creating music together
177,bc7c0d0b-71ae-4afe-8,5,0.2793,0.0825,,"Create music with k pop i dol newjeans style, and a meowing back groubd sound for a cute touch."
178,5de77170-9628-498c-8,5,0.2763,0.0966,,"acoustic guitar, mandolin, piano, acoustic bass, percussion, bossa nova, female singer,"
179,b1c7f9c0-da77-440b-8,5,0.2752,0.0223,,A Beatles style song about two little kittens named rookie and Coco
180,788859af-9004-4587-b,4,0.2749,0.1213,,"Electro pop, male voice, melodic, soul, hip hop rnb and dance hall,"
181,fb21d861-9397-4126-8,6,0.2748,0.0923,,"A song about the love between a human and an artificial intelligence, rock ballad"
182,bed541d5-46b8-4faa-b,4,0.2676,0.0742,,an r and b song about living in the countryside
183,55300023-5c40-490e-9,5,0.2661,0.0606,,A big band song about how Eric Clancy is always right about AI
184,8760d63e-0eab-4d6e-9,6,0.2571,0.0946,,jingle about a story writing service in style of Elvis preslley
185,652ed6ff-5366-4dea-9,6,0.2485,0.0564,,"528hz healing frequency enlightenment awakening, sunrise, new age, meditative, house/pop,"
186,92374983-b2b0-41a7-b,5,0.2438,0.1066,,"old school soul, deep soul, traditional black gospel, r&b/soul, motown, southern soul,"
187,e0d3ac24-3ea6-4a85-a,5,0.2424,0.1028,,"50s pop song about the Tim's hell wagon, a flat black hemi powered monster"
188,8138a78a-f4ba-4f69-b,5,0.2422,0.0851,,Japanese pop anime opening uplifting for hero growing against adversity
189,122a5bd5-7657-4161-a,5,0.2413,0.0487,,"Train the Trainers _ AI Summer camp , pop, r&b,"
190,4edf7524-0d23-48f2-9,5,0.2399,0.0813,,Write a melodic yet comedic song with sombre tones about eating lots of sausage
191,43d604bc-f7ba-45f9-a,5,0.2378,0.073,,"Lara my mother in law, smoking benson hedges in Loveland Colorado. Loves coors light and Taylor’s port. , country, oldies,"
192,c7af0ea9-f546-4f26-b,5,0.23,0.1239,,"Anthem in Finnish for the Nomadic Academy of Experimental Arts based in Harakka island, Helsinki Finland."
193,e89bac5b-3b92-4554-b,4,0.1988,0.1371,,"rock, about a friend named Alf who is in love again at 49 years old"
194,58339466-2de5-4409-b,5,0.1788,0.0611,,"old school soul, deep soul, traditional black gospel, r&b/soul, motown, southern soul,"
195,754ad4a8-b85d-430a-8,5,0.1753,0.1458,,"a jingle about the difference between probiotic, prebiotic, postbiotic and synbiotic"
196,858415cc-1335-476e-a,6,0.1501,0.0534,,Compose a rhyme or song on the prevention of Ringworm
