user_number,problem_hash,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics,age,gender,english_proficiency,english_native,native_language,years_music_making,years_formal_instruc,hours_per_week_music,ai_text_tools_usage,ai_music_tools_used,ai_music_tools_freq
1,f5e3d294-de4a-4be3-9,"super intense, this is the ending of a video game where you just finished the final goal before you do the hardest task yet, everything is on the line and youre filled with so much adrelining, the score in the background gets more intense the more you listen",,super intense|everything is on the line|filled with so much adrenaline,,,video game|score in the background,gets more intense the more you listen,ending|finished the final goal|before the hardest task yet,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,ee0aa1b5-2bb6-4770-a,this is very much 30 year old dads who dont know if they want to be dads or not are like gong through a crisis and join together with all the other men who dont know what theyre doing,,crisis,,,,,30 year old dads|dont know if they want to be dads|join together with other men who dont know what theyre doing,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,e89bff81-fa30-4d94-8,"very happy jazz, reminds me of the beginning of a modern christmas music where its panning to some ballroom over the main couple bantering with eachother",jazz|modern christmas music,very happy,,,,,beginning|ballroom|main couple bantering with each other,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,e7de29c9-e9dd-4a06-a,laying down in the middle of the woods somewhere pondering what life is about through ambient music and i guess a dude talking in the back,ambient,pondering,male spoken voice,,,,laying down in the middle of the woods|what life is about,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,e0aea9d2-f3fe-4e97-a,"convertable with the music blaring super loud, something that old school kids back in the day would listen to",old school,,,super loud,convertable,,kids back in the day would listen to,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,d2cf4cdf-f303-4ef9-9,rock/heavy metal and a lot of screaming and loud music.,rock|heavy metal,,,screaming|loud,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,d2bec18a-bac3-48cb-b,"super groovey and funky, you can totally jiggy with this wearing a kind of disco suit. reminds me of rollar skates too",funky|disco,,,groovey,jiggy,,wearing a kind of disco suit|rollar skates,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,c21d9593-e7e4-41fe-b,"more rock, except this time is feels almost reptillion? I cant really explain it other than the fac that this feels like a lizard has taken the form of a human body and is doing this",rock,,,reptilian,,,a lizard has taken the form of a human body,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,a5ac307b-e75d-47b1-9,"this is rave music, theres such a disticint visual of someone shaking their head back and forth and sticking their tounge out in the process",rave,,,,,,someone shaking their head back and forth|sticking their tongue out,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,9a4d75e7-de00-4931-9,"walking down the street on a sunny day near the public sports facilities like basketball, children nearby are sipping lemondade and are eating popsicles",,sunny,,,,,walking down the street|public sports facilities|basketball|children nearby|sipping lemonade|eating popsicles,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,91f9b933-c02b-47df-9,"this has a lot of autotune in it to where it almost doesnt sound like a girl singing and more ai generated, and they eneunicate the end of their words a lot",,,girl singing,a lot of autotune|ai generated,,enunciate the end of their words a lot,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,86b81fdf-9b70-4200-a,this is giving very much theme song to a coming of age tv show or movie where someone is trying to find their place in the world,,,,,theme song|tv show|movie,,coming of age|someone trying to find their place in the world,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,858415cc-1335-476e-a,mario kart. that is all. this is a mario kart theme song,,,,,theme song,,mario kart,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,7e425ed4-399b-4c72-a,walking in the rain expect your head is looking kind of a bit more up than down,,hopeful,,,,,walking in the rain,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,65239b62-1cec-4b3a-9,"soulless rap, youre not listening to it to get anything from the world but to just have a nice sound in your ear, the voice is monotone enough to where youre not paying too much attention to it so you can listen to someone elses conversation",rap,soulless,voice,monotone|nice sound,not paying too much attention|listen to someone elses conversation,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,652ed6ff-5366-4dea-9,"this is specially in a river. not the forest ground or the ocean but a cold river, youre staring off into the abyss watching the water flow as youre contemplating everything. Very etheral vibe to it",,contemplative,,ethereal,,,cold river|staring into the abyss|watching the water flow|contemplating everything,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,0825d51f-0845-4009-a,"walking down by yourself in the city of newyork in the rain, where you feel like the main character, but no one is actually paying attention to you",,lonely|introspective,,,,,walking by yourself|new york city|in the rain|feel like the main character|no one is paying attention to you,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,0cd8226a-a270-4165-a,"country, the definition of sitting on a truck, cracking open a beer, and talking about how much you hate your wife. very distinct american accent in the song",country,,,very distinct american accent,,,sitting on a truck|cracking open a beer|talking about how much you hate your wife,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,1c339881-c51b-4318-a,anime music that would be in the theme song thats super catchy and everyone bobs their head too,anime music,,,,theme song,super catchy,everyone bobs their head,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,1fcc61c5-7033-469e-9,"walkout music, like big biker intimidating gang is just showoing on stage for the first time so you play music in the background to know that theyre legit",,intimidating,,,walkout music|background|on stage|first time,,big biker gang showing up|they're legit,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
2,fb21d861-9397-4126-8,This the musical score that plays when the main character is about to run a world record time at the olympics. The guitar is meant to represent their nerves before racing,,nerves,guitar,,musical score,,main character|run a world record time|the olympics|before racing,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
